clusterhead_1,clusterhead_2,distance
9,16,171.616736
9,17,135.178467
9,19,59.466845
9,35,270.244621
9,46,259.884489
9,47,224.166559
9,49,223.602125
9,59,270.424278
16,17,36.462365
16,19,187.207757
16,35,133.170921
16,46,167.147416
16,47,168.783925
16,49,262.811990
16,59,285.484728
17,19,152.615272
17,35,155.865156
17,46,176.170371
17,47,166.706426
17,49,244.078060
17,59,272.358782
19,35,257.939412
19,46,232.428115
19,47,189.159582
19,49,166.378254
19,59,215.034087
35,46,71.276306
35,47,113.343158
35,49,243.775995
35,59,240.787437
46,47,52.047798
46,49,180.208871
46,59,171.191405
47,49,130.759172
47,59,130.143231
49,59,52.152869
