time,node_id,event_type,orphan_count
1010.6282629151447,14,ENERGY_DEAD,6
1052.150252117835,24,ENERGY_DEAD,6
1217.150151817403,15,ENERGY_DEAD,6
1345.6283644938624,25,ENERGY_DEAD,6
1357.150154437064,13,ENERGY_DEAD,6
1427.150236124786,3,ENERGY_DEAD,6
1717.150182962646,4,ENERGY_DEAD,6
1837.9401463910463,46,ENERGY_DEAD,74
1906.3029676147107,35,ENERGY_DEAD,71
1990.6278521433237,16,ENERGY_DEAD,76
2006.30304031102,23,ENERGY_DEAD,74
2066.303077523877,71,ENERGY_DEAD,73
2080.6275560744702,26,ENERGY_DEAD,72
2152.9402437320427,12,ENERGY_DEAD,72
2167.9408875059985,45,ENERGY_DEAD,72
2171.30308418777,44,ENERGY_DEAD,72
2201.3030281592855,43,ENERGY_DEAD,72
2231.3030531091817,31,ENERGY_DEAD,72
2261.303033605514,64,ENERGY_DEAD,72
2276.3029676147107,32,ENERGY_DEAD,72
2347.9402373181665,22,ENERGY_DEAD,72
2352.940194516188,57,ENERGY_DEAD,72
2371.3030841990317,54,ENERGY_DEAD,72
2431.303027984882,72,ENERGY_DEAD,72
2472.940312019202,68,ENERGY_DEAD,72
2477.9402248642805,21,ENERGY_DEAD,72
2518.6711446849167,76,ENERGY_DEAD,72
2522.9403397406313,58,ENERGY_DEAD,72
2570.6278521433237,5,ENERGY_DEAD,72
2582.940827896138,36,ENERGY_DEAD,72
2596.303059003043,51,ENERGY_DEAD,72
2612.94028254436,47,ENERGY_DEAD,72
2617.940220205235,92,ENERGY_DEAD,72
2642.9402454271312,67,ENERGY_DEAD,72
2652.9409142597533,56,ENERGY_DEAD,72
2656.303093633224,55,ENERGY_DEAD,72
2660.6279617736286,27,ENERGY_DEAD,72
2661.3030576492883,33,ENERGY_DEAD,72
2662.9402571513233,2,ENERGY_DEAD,72
2678.6711496313383,82,ENERGY_DEAD,72
2682.940285730926,75,ENERGY_DEAD,72
2726.3030103636247,42,ENERGY_DEAD,72
2746.3030280493726,52,ENERGY_DEAD,72
2747.9402055316473,86,ENERGY_DEAD,72
2756.3030275523192,74,ENERGY_DEAD,72
2776.3030699961864,73,ENERGY_DEAD,72
2788.6734917071863,81,ENERGY_DEAD,72
2805.523500288751,37,ENERGY_DEAD,72
2821.303080287132,61,ENERGY_DEAD,72
2822.9402004792164,77,ENERGY_DEAD,72
2826.3030202940417,63,ENERGY_DEAD,72
2842.9402019984773,40,ENERGY_DEAD,72
2852.9401463910463,78,ENERGY_DEAD,72
2852.940259641323,85,ENERGY_DEAD,72
2888.673470856801,91,ENERGY_DEAD,72
2892.9401463910463,11,ENERGY_DEAD,72
2971.3030238205965,84,ENERGY_DEAD,72
3032.940284809136,41,ENERGY_DEAD,72
3072.940223355009,87,ENERGY_DEAD,72
3161.3030283735816,53,ENERGY_DEAD,72
3291.302997467273,94,ENERGY_DEAD,72
3327.9402108718123,88,ENERGY_DEAD,72
3502.94024117306,98,ENERGY_DEAD,72
3512.94021812604,20,ENERGY_DEAD,72
3552.9401463910463,95,ENERGY_DEAD,72
3552.9401463910463,70,ENERGY_DEAD,72
3633.6734180522676,90,ENERGY_DEAD,72
3751.3030181486165,83,ENERGY_DEAD,72
3897.9401463910463,1,ENERGY_DEAD,72
3920.62809640178,17,ENERGY_DEAD,74
